infinitive_english,infinitive,mood,mood_english,tense,tense_english,verb_english,1st person singular,2nd person singular,3rd person singular,1st person plural,2nd person plural,third person plural,gerund,pastparticiple
"to go too far, take advantage",abusar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have gone too far, went too far",haya abusado,hayas abusado,haya abusado,hayamos abusado,hayáis abusado,hayan abusado,abusando,abusado
"to go too far, take advantage",abusar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have gone too far,hubiere abusado,hubieres abusado,hubiere abusado,hubiéremos abusado,hubiereis abusado,hubieren abusado,abusando,abusado
"to go too far, take advantage",abusar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had gone too far,hubiera abusado,hubieras abusado,hubiera abusado,hubiéramos abusado,hubierais abusado,hubieran abusado,abusando,abusado
"to go too far, take advantage",abusar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Go too far! Don't go too far!,,abusa,abusad,,abuse,abusen,abusando,abusado
"to go too far, take advantage",abusar,Imperativo Negativo,Imperative Negative,Presente,Present,Go too far! Don't go too far!,,no abuses,no abuséis,,no abuse,no abusen,abusando,abusado
"to finish, end",acabar,Indicativo,Indicative,Presente,Present,"I finish, am finishing",acabo,acabas,acaba,acabamos,acabáis,acaban,acabando,acabado
"to finish, end",acabar,Indicativo,Indicative,Futuro,Future,I will finish,acabaré,acabarás,acabará,acabaremos,acabaréis,acabarán,acabando,acabado
"to finish, end",acabar,Indicativo,Indicative,Imperfecto,Imperfect,"I was finishing, used to finish, finished",acababa,acababas,acababa,acabábamos,acababais,acababan,acabando,acabado
"to finish, end",acabar,Indicativo,Indicative,Pretérito,Preterite,I finished,acabé,acabaste,acabó,acabamos,acabasteis,acabaron,acabando,acabado
"to finish, end",acabar,Indicativo,Indicative,Condicional,Conditional,I would finish,acabaría,acabarías,acabaría,acabaríamos,acabaríais,acabarían,acabando,acabado
"to finish, end",acabar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have finished,he acabado,has acabado,ha acabado,hemos acabado,habéis acabado,han acabado,acabando,acabado
"to finish, end",acabar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have finished,habré acabado,habrás acabado,habrá acabado,habremos acabado,habréis acabado,habrán acabado,acabando,acabado
"to finish, end",acabar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had finished,había acabado,habías acabado,había acabado,habíamos acabado,habíais acabado,habían acabado,acabando,acabado
"to finish, end",acabar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had finished,hube acabado,hubiste acabado,hubo acabado,hubimos acabado,hubisteis acabado,hubieron acabado,acabando,acabado
"to finish, end",acabar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have finished,habría acabado,habrías acabado,habría acabado,habríamos acabado,habríais acabado,habrían acabado,acabando,acabado
"to finish, end",acabar,Subjuntivo,Subjunctive,Presente,Present,"I finish, am finishing",acabe,acabes,acabe,acabemos,acabéis,acaben,acabando,acabado
"to finish, end",acabar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I finished, was finishing",acabara,acabaras,acabara,acabáramos,acabarais,acabaran,acabando,acabado
"to finish, end",acabar,Subjuntivo,Subjunctive,Futuro,Future,I will finish,acabare,acabares,acabare,acabáremos,acabareis,acabaren,acabando,acabado
"to finish, end",acabar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have finished, finished",haya acabado,hayas acabado,haya acabado,hayamos acabado,hayáis acabado,hayan acabado,acabando,acabado
"to finish, end",acabar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have finished,hubiere acabado,hubieres acabado,hubiere acabado,hubiéremos acabado,hubiereis acabado,hubieren acabado,acabando,acabado
"to finish, end",acabar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had finished,hubiera acabado,hubieras acabado,hubiera acabado,hubiéramos acabado,hubierais acabado,hubieran acabado,acabando,acabado
"to finish, end",acabar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Finish! Don't finish!,,acaba,acabad,,acabe,acaben,acabando,acabado
"to finish, end",acabar,Imperativo Negativo,Imperative Negative,Presente,Present,Finish! Don't finish!,,no acabes,no acabéis,,no acabe,no acaben,acabando,acabado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Presente,Present,"I camp, am camping",acampo,acampas,acampa,acampamos,acampáis,acampan,acampando,acampado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Futuro,Future,I will camp,acamparé,acamparás,acampará,acamparemos,acamparéis,acamparán,acampando,acampado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Imperfecto,Imperfect,"I was camping, used to camp, camped",acampaba,acampabas,acampaba,acampábamos,acampabais,acampaban,acampando,acampado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Pretérito,Preterite,I camped,acampé,acampaste,acampó,acampamos,acampasteis,acamparon,acampando,acampado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Condicional,Conditional,I would camp,acamparía,acamparías,acamparía,acamparíamos,acamparíais,acamparían,acampando,acampado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have camped,he acampado,has acampado,ha acampado,hemos acampado,habéis acampado,han acampado,acampando,acampado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have camped,habré acampado,habrás acampado,habrá acampado,habremos acampado,habréis acampado,habrán acampado,acampando,acampado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had camped,había acampado,habías acampado,había acampado,habíamos acampado,habíais acampado,habían acampado,acampando,acampado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had camped,hube acampado,hubiste acampado,hubo acampado,hubimos acampado,hubisteis acampado,hubieron acampado,acampando,acampado
"to camp, encamp, go camping",acampar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have camped,habría acampado,habrías acampado,habría acampado,habríamos acampado,habríais acampado,habrían acampado,acampando,acampado
"to camp, encamp, go camping",acampar,Subjuntivo,Subjunctive,Presente,Present,"I camp, am camping",acampe,acampes,acampe,acampemos,acampéis,acampen,acampando,acampado
"to camp, encamp, go camping",acampar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I camped, was camping",acampara,acamparas,acampara,acampáramos,acamparais,acamparan,acampando,acampado
"to camp, encamp, go camping",acampar,Subjuntivo,Subjunctive,Futuro,Future,I will camp,acampare,acampares,acampare,acampáremos,acampareis,acamparen,acampando,acampado
"to camp, encamp, go camping",acampar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have camped, camped",haya acampado,hayas acampado,haya acampado,hayamos acampado,hayáis acampado,hayan acampado,acampando,acampado
"to camp, encamp, go camping",acampar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have camped,hubiere acampado,hubieres acampado,hubiere acampado,hubiéremos acampado,hubiereis acampado,hubieren acampado,acampando,acampado
"to camp, encamp, go camping",acampar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had camped,hubiera acampado,hubieras acampado,hubiera acampado,hubiéramos acampado,hubierais acampado,hubieran acampado,acampando,acampado
"to camp, encamp, go camping",acampar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Camp! Don't camp!,,acampa,acampad,,acampe,acampen,acampando,acampado
"to camp, encamp, go camping",acampar,Imperativo Negativo,Imperative Negative,Presente,Present,Camp! Don't camp!,,no acampes,no acampéis,,no acampe,no acampen,acampando,acampado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Presente,Present,"I accept, am accepting",acepto,aceptas,acepta,aceptamos,aceptáis,aceptan,aceptando,aceptado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Futuro,Future,I will accept,aceptaré,aceptarás,aceptará,aceptaremos,aceptaréis,aceptarán,aceptando,aceptado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Imperfecto,Imperfect,"I was accepting, used to accept, accepted",aceptaba,aceptabas,aceptaba,aceptábamos,aceptabais,aceptaban,aceptando,aceptado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Pretérito,Preterite,I accepted,acepté,aceptaste,aceptó,aceptamos,aceptasteis,aceptaron,aceptando,aceptado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Condicional,Conditional,I would accept,aceptaría,aceptarías,aceptaría,aceptaríamos,aceptaríais,aceptarían,aceptando,aceptado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have accepted,he aceptado,has aceptado,ha aceptado,hemos aceptado,habéis aceptado,han aceptado,aceptando,aceptado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have accepted,habré aceptado,habrás aceptado,habrá aceptado,habremos aceptado,habréis aceptado,habrán aceptado,aceptando,aceptado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had accepted,había aceptado,habías aceptado,había aceptado,habíamos aceptado,habíais aceptado,habían aceptado,aceptando,aceptado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had accepted,hube aceptado,hubiste aceptado,hubo aceptado,hubimos aceptado,hubisteis aceptado,hubieron aceptado,aceptando,aceptado
"to accept, approve to agree to",aceptar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have accepted,habría aceptado,habrías aceptado,habría aceptado,habríamos aceptado,habríais aceptado,habrían aceptado,aceptando,aceptado
"to accept, approve to agree to",aceptar,Subjuntivo,Subjunctive,Presente,Present,"I accept, am accepting",acepte,aceptes,acepte,aceptemos,aceptéis,acepten,aceptando,aceptado
"to accept, approve to agree to",aceptar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I accepted, was accepting",aceptara,aceptaras,aceptara,aceptáramos,aceptarais,aceptaran,aceptando,aceptado
"to accept, approve to agree to",aceptar,Subjuntivo,Subjunctive,Futuro,Future,I will accept,aceptare,aceptares,aceptare,aceptáremos,aceptareis,aceptaren,aceptando,aceptado
"to accept, approve to agree to",aceptar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have accepted, accepted",haya aceptado,hayas aceptado,haya aceptado,hayamos aceptado,hayáis aceptado,hayan aceptado,aceptando,aceptado
"to accept, approve to agree to",aceptar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have accepted,hubiere aceptado,hubieres aceptado,hubiere aceptado,hubiéremos aceptado,hubiereis aceptado,hubieren aceptado,aceptando,aceptado
"to accept, approve to agree to",aceptar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had accepted,hubiera aceptado,hubieras aceptado,hubiera aceptado,hubiéramos aceptado,hubierais aceptado,hubieran aceptado,aceptando,aceptado
"to accept, approve to agree to",aceptar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Accept! Don't accept!,,acepta,aceptad,,acepte,acepten,aceptando,aceptado
"to accept, approve to agree to",aceptar,Imperativo Negativo,Imperative Negative,Presente,Present,Accept! Don't accept!,,no aceptes,no aceptéis,,no acepte,no acepten,aceptando,aceptado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Presente,Present,"I bring near(er), am bringing near(er)",acerco,acercas,acerca,acercamos,acercáis,acercan,acercando,acercado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Futuro,Future,I will bring near(er),acercaré,acercarás,acercará,acercaremos,acercaréis,acercarán,acercando,acercado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Imperfecto,Imperfect,"I was bringing near(er), used to bring near(er), brought near(er)",acercaba,acercabas,acercaba,acercábamos,acercabais,acercaban,acercando,acercado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Pretérito,Preterite,I brought near(er),acerqué,acercaste,acercó,acercamos,acercasteis,acercaron,acercando,acercado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Condicional,Conditional,I would bring near(er),acercaría,acercarías,acercaría,acercaríamos,acercaríais,acercarían,acercando,acercado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have brought near(er),he acercado,has acercado,ha acercado,hemos acercado,habéis acercado,han acercado,acercando,acercado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have brought near(er),habré acercado,habrás acercado,habrá acercado,habremos acercado,habréis acercado,habrán acercado,acercando,acercado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had brought near(er),había acercado,habías acercado,había acercado,habíamos acercado,habíais acercado,habían acercado,acercando,acercado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had brought near(er),hube acercado,hubiste acercado,hubo acercado,hubimos acercado,hubisteis acercado,hubieron acercado,acercando,acercado
"to bring nearer, move something nearer",acercar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have brought near(er),habría acercado,habrías acercado,habría acercado,habríamos acercado,habríais acercado,habrían acercado,acercando,acercado
"to bring nearer, move something nearer",acercar,Subjuntivo,Subjunctive,Presente,Present,"I bring near(er), am bringing near(er)",acerque,acerques,acerque,acerquemos,acerquéis,acerquen,acercando,acercado
"to bring nearer, move something nearer",acercar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I brought near(er), was bringing near(er)",acercara,acercaras,acercara,acercáramos,acercarais,acercaran,acercando,acercado
"to bring nearer, move something nearer",acercar,Subjuntivo,Subjunctive,Futuro,Future,I will bring near(er),acercare,acercares,acercare,acercáremos,acercareis,acercaren,acercando,acercado
"to bring nearer, move something nearer",acercar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have brought near(er), brought near(er)",haya acercado,hayas acercado,haya acercado,hayamos acercado,hayáis acercado,hayan acercado,acercando,acercado
"to bring nearer, move something nearer",acercar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have brought near(er),hubiere acercado,hubieres acercado,hubiere acercado,hubiéremos acercado,hubiereis acercado,hubieren acercado,acercando,acercado
"to bring nearer, move something nearer",acercar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had brought near(er),hubiera acercado,hubieras acercado,hubiera acercado,hubiéramos acercado,hubierais acercado,hubieran acercado,acercando,acercado
